Name;Assignment: Upload your solutions for homework assignment 1;HotPot: Self-Test Lecture 1;Assignment: Your Kahoot! Scores Lecture 2;Assignment: Your Kahoot! Scores Lecture 3;HotPot: Self-Test Lecture 3;HotPot: Self-Test Lecture 2;Assignment: Your Kahoot! Scores Lecture 4;Assignment: Upload your solutions for homework assignment 3;Assignment: Upload your solutions for homework assignment 2;Assignment: Your Kahoot! Scores Lecture 5;HotPot: Self-Test Lecture 4;Assignment: Upload your solution for homework assignment 4;Assignment: Your Kahoot Scores from the Lecture 02.12 (2nd Kahoot);Assignment: Your Kahoot Scores from the Lecture 02.12 (1st Kahoot);Assignment: Upload your solution for homework assignment 5;HotPot: Vorbefragung;HotPot: Midterm Exam (One Try Only!);HotPot: Self-Test Lecture 5;HotPot: Self-Test Lecture 8;HotPot: Self-Test Lecture 6;Assignment: Your Kahoot Scores from the Lecture 25.11 (1st Kahoot);Assignment: Your Kahoot Scores from the Lecture 25.11 (2nd Kahoot);Assignment: Upload your solution for homework assignment 6;HotPot: Self-Test Lecture 7;Assignment: Your Kahoot Scores from the Lecture 10.12 (1st Kahoot);Assignment: Your Kahoot Scores from the Lecture 16.12 (1st Kahoot);Assignment: Your Kahoot Scores from the Lecture 16.12 (2nd Kahoot);Assignment: Your Kahoot Scores from the Lecture 10.12 (2nd Kahoot);Course total
209217;7;100;;;90;87;;11;9;;73;15;-;-;12;14;-;68;-;91;-;-;-;50;-;-;-;-;72,65
148004;10;94;;;-;-;;0;-;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;85,95
145081;0;-;;;-;-;;10;8;;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;54,9
408807;10;-;;;-;-;;0;-;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47,62
378898;7;-;;;-;-;;8;14;;-;12;-;-;9;100;95;-;-;-;-;-;-;-;-;-;-;-;93,16
444463;10;-;;;-;-;;11;15;;-;14;-;-;9;-;84;-;-;-;-;-;-;-;-;-;-;-;87,73
739205;5;-;;;-;-;;10;14;;-;13;-;-;8;100;65;-;-;-;-;-;-;0;-;-;-;-;59,23
757069;10;-;;;7;-;;10;13;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29,41
378654;6;0;;;-;-;;10;10;;-;15;-;-;3;28;-;-;-;-;-;-;-;-;-;-;-;-;27,38
296675;10;-;;;-;-;;9;14;;-;14;-;-;11;-;91;-;-;-;-;-;-;-;-;-;-;-;91,41
119792;10;-;;;-;-;;11;13;;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;90,2
248757;10;-;;;-;-;;0;-;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47,62
768011;0;77;;;95;66;;10;11;;100;15;-;-;2;100;91;87;-;100;-;-;-;100;-;-;-;-;88,68
568514;10;94;;;-;-;;11;14;;-;12;-;-;11;100;81;-;-;-;-;-;-;-;-;-;-;-;91,74
832694;10;-;;;-;-;;10;10;;-;15;-;-;10;-;63;-;-;-;-;-;-;-;-;-;-;-;72,39
297276;10;-;;;-;-;;0;9;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;52,78
247835;10;88;;;80;-;;9;14;;-;14;-;-;11;100;95;-;-;91;-;-;-;83;-;-;-;-;89,74
678634;10;-;;;-;-;;10;12;;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;92,16
749545;10;-;;;-;-;;10;14;;-;15;-;-;12;100;-;-;-;0;-;-;-;-;-;-;-;-;61,22
104800;7;-;;;-;-;;0;-;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33,33
555229;0;94;;;-;-;;0;-;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;77,69
829473;10;-;;;-;-;;10;14;;-;15;-;-;11;-;82;-;-;-;-;-;-;-;-;-;-;-;87,12
746018;0;-;;;-;-;;10;10;;95;12;-;-;12;0;-;-;-;-;-;-;-;-;-;-;-;-;52,85
865280;10;0;;;-;-;;11;14;;-;12;-;-;11;100;-;-;-;-;-;-;-;-;-;-;-;-;60,08
794509;10;94;;;-;-;;11;10;;-;13;-;-;12;100;87;-;-;-;-;-;-;-;-;-;-;-;92,84
251814;10;94;;;92;83;;8;14;;88;12;-;-;9;100;96;62;87;100;-;-;-;-;-;-;-;-;88,79
604640;4;88;;;-;-;;11;13;;80;14;-;-;12;100;88;-;-;-;-;-;-;-;-;-;-;-;88,55
747872;10;83;;;80;95;;11;10;;78;13;-;-;12;100;93;81;-;66;-;-;-;-;-;-;-;-;84,82
488207;10;-;;;-;-;;11;13;;-;15;-;-;10;100;-;-;-;-;-;-;-;-;-;-;-;-;97,55
110884;6;-;;;-;-;;11;12;;-;15;-;-;12;-;92;-;-;-;-;-;-;-;-;-;-;-;90,8
639378;10;94;;;71;72;;8;8;;-;14;-;-;12;100;94;-;-;83;-;-;-;-;-;-;-;-;85,37
154148;9;94;;;80;87;;11;12;;95;11;-;-;12;100;88;77;-;100;-;-;-;75;-;-;-;-;88,37
646029;10;-;;;-;-;;0;-;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47,62
932187;0;-;;;-;-;;0;13;;-;15;-;-;10;100;-;-;-;-;-;-;-;-;-;-;-;-;84,66
801650;10;83;;;-;88;;10;12;;-;15;-;-;11;100;-;-;-;-;-;-;-;-;-;-;-;-;90,63
571821;9;-;;;0;-;;0;5;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10,29
101337;5;72;;;80;91;;11;9;;100;15;-;-;12;95;79;-;-;-;-;-;-;-;-;-;-;-;85,82
192543;10;72;;;-;-;;10;13;;-;15;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;80,98
284789;0;-;;;-;-;;0;-;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0
348926;0;-;;;-;-;;9;-;;-;15;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;75
568357;6;94;;;-;-;;0;-;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;82,64
114524;0;-;;;-;-;;5;14;;-;10;-;-;12;0;-;-;-;-;-;-;-;-;-;-;-;-;25,15
989853;9;94;;;76;79;;8;8;;28;14;-;-;12;-;-;83;-;100;-;-;-;-;-;-;-;-;77,07
468243;10;-;;;-;-;;10;15;;-;15;-;-;11;100;89;-;-;-;-;-;-;-;-;-;-;-;95,06
893721;10;-;;;-;-;;11;13;;-;12;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;92,06
964009;10;-;;;-;-;;10;13;;-;15;-;-;12;100;-;-;-;-;-;-;-;-;-;-;-;-;98,16
942703;6;100;;;83;86;;10;11;;85;15;-;-;2;100;86;93;-;91;-;-;-;-;-;-;-;-;88,99
507245;8;-;;;-;-;;10;14;;-;15;-;-;10;100;-;-;-;-;-;-;-;-;-;-;-;-;96,32
542127;3;-;;;-;-;;5;14;;-;10;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;69,84
128969;-;94;;;-;68;;0;-;;0;14;-;-;12;100;-;-;-;-;-;-;-;-;-;-;-;-;65,75
630272;10;-;;;80;91;;11;14;;100;15;-;-;12;0;95;87;-;91;-;-;-;-;-;-;-;-;79,42
296580;0;-;;;-;-;;0;-;;-;-;-;-;-;0;61;-;-;-;-;-;-;-;-;-;-;-;27,6
869143;10;77;;;90;91;;11;12;;-;8;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;85,67
420552;7;88;;;100;-;;10;12;;-;15;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;92,78
196354;7;100;;;100;100;;11;12;;-;11;-;-;12;100;-;-;-;-;-;-;-;-;-;-;-;-;97,84
906965;10;100;;;100;100;;11;12;;100;15;-;-;12;100;91;100;-;100;-;-;-;-;-;-;-;-;98,61
782636;6;100;;;100;100;;9;7;;100;15;-;-;12;100;93;100;-;100;-;-;-;100;-;-;-;-;97,82
666633;10;100;;;-;-;;10;13;;-;15;-;-;12;100;78;-;-;-;-;-;-;-;-;-;-;-;93,11
268318;8;-;;;-;-;;11;8;;-;15;-;-;12;95;-;-;-;-;-;-;-;-;-;-;-;-;91,41
466972;9;61;;;-;-;;10;6;;-;15;-;-;12;-;75;-;-;-;-;-;-;0;-;-;-;-;51,79
287271;10;-;;;-;-;;0;-;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47,62
393650;10;-;;;-;0;;10;12;;-;15;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;36,2
549430;10;94;;;-;62;;0;9;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;74,15
786144;10;88;;;-;-;;11;13;;-;11;-;-;12;100;94;-;-;-;-;-;-;-;-;-;-;-;93,39
983015;10;-;;;-;-;;11;13;;-;14;-;-;12;-;86;-;-;-;-;-;-;-;-;-;-;-;89,57
967490;10;100;;;0;79;;11;12;;-;8;-;-;12;-;70;-;-;-;-;-;-;-;-;-;-;-;65,23
576228;10;-;;;-;-;;11;13;;-;14;-;-;12;-;82;-;-;-;-;-;-;-;-;-;-;-;87,12
606215;9;-;;;-;-;;0;-;;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-;-;-;-;7,44
368058;0;-;;;0;-;;10;15;;71;15;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;46,39
879148;10;88;;;80;91;;11;14;;64;15;-;-;12;100;-;-;-;-;-;-;-;-;-;-;-;-;86,15
711945;7;94;;;95;72;;10;10;;83;12;-;-;12;-;88;77;-;83;-;-;-;50;-;-;-;-;80,3
